AttemptedThrowTD,BodyKicksAbsorbed,BodyLockDefends,BodyLockTakedownAttempts,BodyLockTakedownFail,BodyLockTakedownSuccess,BulldogAttempt,BulldogLoss,BulldogWin,CalfSlicerAttempts,CalfSlicerLosses,CalfSlicerWins,ClinchStrikeHiMake,ClinchStrikeHiMiss,ClinchStrikeLoMake,ClinchStrikeLoMiss,CrossesAbsorbed,DoubleLegDefends,DoubleLegTakedownAttempts,DoubleLegTakedownFail,DoubleLegTakedownSuccess,EzekielAttempt,EzekielLoss,EzekielWin,FailedThrowTD,FighterGrade,FighterMomentum,FightsTracked,GogoplataAttempts,GogoplataLosses,GogoplataWins,GroundStrikeHiMake,GroundStrikeHiMiss,GroundStrikeLoMake,GroundStrikeLoMiss,HeadKicksAbsorbed,HooksAbsorbed,JabsAbsorbed,KneebarAttempt,KneebarLoss,KneebarWin,LeftBodyKickMake,LeftBodyKickMiss,LeftElbowMake,LeftElbowMiss,LeftHighKickMake,LeftHighKickMiss,LeftHookHiMake,LeftHookHiMiss,LeftHookLoMake,LeftHookLoMiss,LeftJabHiMake,LeftJabHiMiss,LeftJabLoMake,LeftJabLoMiss,LeftLegKickMake,LeftLegKickMiss,LeftOverhandMake,LeftOverhandMiss,LeftSpinBackFistMake,LeftSpinBackFistMiss,LeftStraightHiMake,LeftStraightHiMiss,LeftStraightLoMake,LeftStraightLoMiss,LeftUppercutHiMake,LeftUppercutHiMiss,LeftUppercutLoMake,LeftUppercutLoMiss,LegKicksAbsorbed,LeglockAttempt,LeglockLoss,LeglockWin,LossesInThe4thRd,LossesInThe5thRd,LossesInTitleFights,MinutesTracked,NeckCrankAttempt,NumberOfKnockDowns,NumberOfStuns,OmoplataAttempt,OmoplataAttempts,OmoplataLoss,OmoplataLosses,OmoplataWin,OmoplataWins,OtherSubAttempt,OtherSubLoss,OtherSubWin,OverhandsAbsorbed,RightBodyKickMake,RightBodyKickMiss,RightElbowMake,RightElbowMiss,RightHighKickMake,RightHighKickMiss,RightHookHiMake,RightHookHiMiss,RightHookLoMake,RightHookLoMiss,RightJabHiMake,RightJabHiMiss,RightJabLoMake,RightJabLoMiss,RightLegKickMake,RightLegKickMiss,RightOverhandMake,RightOverhandMiss,RightSpinBackFistMake,RightSpinBackFistMiss,RightStraightHiMake,RightStraightHiMiss,RightStraightLoMake,RightStraightLoMiss,RightUppercutHiMake,RightUppercutHiMiss,RightUppercutLoMake,RightUppercutLoMiss,RoundsTracked,SUBRNCAttempt,SUBRNCLoss,SUBRNCWin,SingleLegDefends,SingleLegTakedownAttempts,SingleLegTakedownFail,SingleLegTakedownSuccess,StraightsAbsorbed,SubArmTriangleAttempt,SubArmTriangleLoss,SubArmTriangleWin,SubAttempts,SubDarceAttempt,SubDarceLoss,SubDarceWin,SubGuillotineAttempt,SubGuillotineLoss,SubGuillotineWin,SubHeelHookAttempt,SubHeelHookLoss,SubHeelHookWin,SubKimuraAttempt,SubKimuraLoss,SubKimuraWin,SubNeckCrankAttempt,SubNeckCrankWin,SubStraightArmLockAttempt,SubStraightArmLockLoss,SubStraightArmLockWin,SubSulovStretchAttempt,SubSulovStretchLoss,SubSulovStretchWin,SubTriangleArmbarAttempt,SubTriangleArmbarLoss,SubTriangleArmbarWin,SubTriangleAttempt,SubTriangleLoss,SubTriangleWin,SubmissionDefenseGrade,SubmissionGrade,SuccessfulThrowTD,ThrowDefends,TimesBodyLocked,TimesDoubleLegged,TimesKnockedDown,TimesSingleLegged,TimesStunned,TimesThrown,TimesTripped,TotalBodyKicksMade,TotalBodyKicksMissed,TotalBodyKicksThrown,TotalClinchStrikesMade,TotalClinchStrikesMissed,TotalClinchStrikesThrown,TotalElbowsMade,TotalElbowsMissed,TotalElbowsThrown,TotalGroundStrikesMade,TotalGroundStrikesMissed,TotalGroundStrikesThrown,TotalHighKicksMade,TotalHighKicksMissed,TotalHighKicksThrown,TotalHooksMade,TotalHooksMissed,TotalHooksThrown,TotalJabsMade,TotalJabsMissed,TotalJabsThrown,TotalKicksLanded,TotalKicksThrown,TotalLegKicksMade,TotalLegKicksMissed,TotalLegKicksThrown,TotalOverhandsMade,TotalOverhandsMissed,TotalOverhandsThrown,TotalPunchesLanded,TotalPunchesThrown,TotalSpinBackFistsMade,TotalSpinBackFistsMissed,TotalSpinBackFistsThrown,TotalStraightsMade,TotalStraightsMissed,TotalStraightsThrown,TotalStrikesLanded,TotalUppercutsMade,TotalUppercutsMissed,TotalUppercutsThrown,TripDefends,TripTakedownAttempts,TripTakedownFail,TripTakedownSuccess,TwisterAttempts,TwisterLosses,TwisterWins,UppercutsAbsorbed,VonFlueAttempt,VonFlueLoss,VonFlueWin,WinsInThe4thRd,WinsInThe5thRd,WinsInTitleFights,_id
0,33,0,10,3,7,0,0,0,0,0,0,32,9,33,12,0,0,17,11,6,0,0,0,0,85,5,5,0,0,0,123,39,57,4,2,87,140,0,0,0,34,9,9,5,6,29,96,100,2,4,5,29,0,0,22,7,9,31,1,0,100,106,1,9,15,6,1,0,31,0,0,0,0,2,2,120,4,0,4,0,0,0,0,0,0,0,0,0,4,16,7,1,4,6,6,48,102,2,0,168,422,3,2,20,6,2,5,0,1,5,29,0,0,18,36,2,0,25,2,0,0,1,21,17,4,57,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,2,5,0,0,50,16,66,65,21,86,10,9,19,180,43,223,12,35,47,148,206,354,176,453,629,104,168,42,13,55,11,36,47,555,1457,1,1,2,106,144,250,897,36,42,78,0,1,0,1,0,0,0,33,0,0,0,0,2,0,6399051230387a9a5e480d3f
0,2,0,4,0,4,0,0,0,0,0,0,1,0,1,0,0,0,2,0,2,0,0,0,0,88,17,5,0,0,0,31,2,14,0,0,34,14,0,0,0,8,3,5,0,3,1,12,5,1,0,30,22,0,0,1,0,1,0,0,1,0,0,0,0,3,1,1,0,16,0,0,0,0,0,1,28,0,3,4,0,0,0,0,0,0,1,0,0,11,18,5,14,1,4,9,13,6,0,0,3,1,0,0,12,3,2,6,1,0,24,13,1,1,9,0,0,0,8,1,0,1,0,1,0,1,26,0,1,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,3,0,3,0,1,26,8,34,2,0,2,19,1,20,45,2,47,7,10,17,26,11,37,33,23,56,46,67,13,3,16,3,6,9,103,159,1,1,2,25,14,39,240,13,1,14,0,1,0,1,0,0,0,6,0,0,0,0,0,2,639904f38b03f79f63553010
0,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,80,10,2,0,0,0,5,3,0,0,1,23,24,0,0,0,3,3,0,0,3,9,12,13,0,1,0,1,0,0,1,0,0,2,0,0,47,65,0,1,0,0,0,0,19,0,0,0,0,0,0,30,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,22,0,0,26,85,0,2,5,0,0,3,0,0,1,1,0,0,1,1,0,1,6,0,0,0,6,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,3,3,6,1,0,1,0,0,0,5,3,8,3,10,13,21,36,57,26,88,114,12,25,6,0,6,0,5,5,97,291,0,0,0,48,67,115,117,1,2,3,0,0,0,0,0,0,0,5,0,0,0,0,0,0,6399065d641fd0819d9418d1
0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,72,0,1,0,0,0,1,0,3,0,0,0,1,0,0,0,4,0,0,0,1,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,4,0,4,1,0,1,0,0,0,4,0,4,1,3,4,0,2,2,1,2,3,9,12,4,0,4,0,0,0,6,11,0,0,0,0,1,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,639904fae62aa2f55579d1eb
0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,0,1,0,0,0,0,0,0,0,2,6,7,0,0,0,0,0,0,0,0,0,1,8,0,1,0,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,15,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,3,0,0,0,0,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,23,24,0,8,8,0,0,0,0,0,0,0,0,1,36,0,0,0,0,3,3,4,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,63990522216fbb7c0a250f13
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,71,0,1,0,0,0,1,2,0,0,1,6,5,0,0,0,0,1,1,0,0,0,3,4,0,0,4,14,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,1,1,0,3,0,1,2,4,1,0,1,4,1,2,3,0,0,0,0,1,1,0,1,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,2,3,0,1,1,3,8,11,4,14,18,2,5,2,1,3,0,3,3,13,50,0,1,1,3,4,7,18,2,6,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6399050a6e72c4556a8960ce
0,1,0,1,0,1,0,0,0,0,0,0,1,0,4,0,0,0,3,1,2,0,0,0,0,82,5,1,0,0,0,88,11,20,1,0,3,15,0,0,0,0,0,2,0,0,0,1,3,1,0,0,1,0,0,1,1,2,2,0,0,1,6,0,0,2,1,1,0,4,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,2,1,2,0,0,1,13,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,0,5,5,0,5,108,12,120,0,2,2,3,5,8,2,14,16,1,7,1,3,4,2,2,4,124,164,0,0,0,1,6,7,132,3,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,639906053a73453fa4a5a235
0,0,0,1,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,79,5,2,0,0,0,16,2,3,0,0,3,10,0,0,0,0,0,0,0,0,0,3,7,1,0,6,11,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,12,0,2,3,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,2,3,2,0,1,0,0,0,1,0,3,0,0,0,0,1,0,0,3,1,0,0,3,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,2,4,0,4,0,0,0,19,2,21,0,0,0,8,10,18,7,12,19,4,6,3,1,4,3,0,3,25,49,0,0,0,0,1,1,49,3,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,639905194b6c9852d4eb118f
0,18,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,3,0,0,0,0,82,20,4,0,0,0,64,40,2,0,2,24,28,0,0,0,14,8,1,0,6,7,12,22,1,0,9,35,0,1,20,18,1,6,1,2,5,7,0,0,0,0,0,0,12,1,0,0,0,0,0,42,1,2,1,0,0,0,0,0,0,0,0,0,3,1,1,1,0,0,0,6,20,1,0,6,3,0,0,16,14,2,5,0,1,25,32,1,1,0,0,0,0,9,2,0,0,0,8,6,2,5,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,15,9,24,0,2,2,2,0,2,66,40,106,6,7,13,20,42,62,15,39,54,57,105,36,32,68,3,11,14,78,216,1,3,4,31,40,71,210,0,0,0,0,1,0,1,0,0,0,2,0,0,0,0,0,0,639906469c4ebe9850a17318
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,0,1,0,0,0,11,2,2,1,0,0,0,0,0,0,1,0,0,0,0,0,2,2,0,0,12,9,0,0,0,1,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,15,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,3,6,0,0,1,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,1,0,0,0,0,0,0,13,3,16,0,0,0,2,5,7,12,9,21,1,3,0,2,2,0,0,0,31,58,0,0,0,3,7,10,33,1,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,639906b016540227e70792ae
