FighterGrade,BodyKicksAbsorbed,ClinchStrikeHiMake,ClinchStrikeHiMiss,ClinchStrikeLoMake,ClinchStrikeLoMiss,DoubleLegDefends,DoubleLegTakedownAttempts,DoubleLegTakedownFail,DoubleLegTakedownSuccess,GroundStrikeHiMake,GroundStrikeHiMiss,GroundStrikeLoMake,GroundStrikeLoMiss,HeadKicksAbsorbed,HooksAbsorbed,JabsAbsorbed,LeftBodyKickMake,LeftBodyKickMiss,LeftHighKickMake,LeftHighKickMiss,LeftHookHiMake,LeftHookHiMiss,LeftHookLoMake,LeftHookLoMiss,LeftJabHiMake,LeftJabHiMiss,LeftJabLoMake,LeftJabLoMiss,LeftLegKickMake,LeftLegKickMiss,LeftOverhandMake,LeftOverhandMiss,LeftStraightHiMake,LeftStraightHiMiss,LeftStraightLoMake,LeftStraightLoMiss,LeftUppercutHiMake,LeftUppercutHiMiss,LeftUppercutLoMake,LeftUppercutLoMiss,LegKicksAbsorbed,NumberOfKnockDowns,NumberOfStuns,OverhandsAbsorbed,RightBodyKickMake,RightBodyKickMiss,RightHighKickMake,RightHighKickMiss,RightHookHiMake,RightHookHiMiss,RightHookLoMake,RightHookLoMiss,RightJabHiMake,RightJabHiMiss,RightJabLoMake,RightJabLoMiss,RightLegKickMake,RightLegKickMiss,RightOverhandMake,RightOverhandMiss,RightStraightHiMake,RightStraightHiMiss,RightStraightLoMake,RightStraightLoMiss,RightUppercutHiMake,RightUppercutHiMiss,RightUppercutLoMake,RightUppercutLoMiss,SingleLegDefends,SingleLegTakedownAttempts,SingleLegTakedownFail,SingleLegTakedownSuccess,StraightsAbsorbed,SubAttempts,TimesDoubleLegged,TimesKnockedDown,TimesSingleLegged,TimesStunned,TotalBodyKicksMade,TotalBodyKicksMissed,TotalBodyKicksThrown,TotalClinchStrikesMade,TotalClinchStrikesMissed,TotalClinchStrikesThrown,TotalElbowsMade,TotalElbowsMissed,TotalElbowsThrown,TotalGroundStrikesMade,TotalGroundStrikesMissed,TotalGroundStrikesThrown,TotalHighKicksMade,TotalHighKicksMissed,TotalHighKicksThrown,TotalHooksMade,TotalHooksMissed,TotalHooksThrown,TotalJabsMade,TotalJabsMissed,TotalJabsThrown,TotalKicksLanded,TotalKicksThrown,TotalLegKicksMade,TotalLegKicksMissed,TotalLegKicksThrown,TotalOverhandsMade,TotalOverhandsMissed,TotalOverhandsThrown,TotalPunchesLanded,TotalPunchesThrown,TotalSpinBackFistsMade,TotalStraightsMade,TotalStraightsMissed,TotalStraightsThrown,TotalStrikesLanded,TotalUppercutsMade,TotalUppercutsMissed,TotalUppercutsThrown,UppercutsAbsorbed
85,0.275,0.266666667,0.075,0.275,0.1,0,0.141666667,0.091666667,0.05,1.025,0.325,0.475,0.033333333,0.016666667,0.725,1.166666667,0.283333333,0.075,0.05,0.241666667,0.8,0.833333333,0.016666667,0.033333333,0.041666667,0.241666667,0,0,0.183333333,0.058333333,0.075,0.258333333,0.833333333,0.883333333,0.008333333,0.075,0.125,0.05,0.008333333,0,0.258333333,0,0.033333333,0.033333333,0.133333333,0.058333333,0.05,0.05,0.4,0.85,0.016666667,0,1.4,3.516666667,0.025,0.016666667,0.166666667,0.05,0.016666667,0.041666667,0.041666667,0.241666667,0,0,0.15,0.3,0.016666667,0,0.008333333,0.175,0.141666667,0.033333333,0.475,0.058333333,0.008333333,0.033333333,0.016666667,0.041666667,0.416666667,0.133333333,0.55,0.541666667,0.175,0.716666667,0.083333333,0.075,0.158333333,1.5,0.358333333,1.858333333,0.1,0.291666667,0.391666667,1.233333333,1.716666667,2.95,1.466666667,3.775,5.241666667,0.866666667,1.4,0.35,0.108333333,0.458333333,0.091666667,0.3,0.391666667,4.625,12.14166667,0.008333333,0.883333333,1.2,2.083333333,7.475,0.3,0.35,0.65,0.275
88,0.071428571,0.035714286,0,0.035714286,0,0,0.071428571,0,0.071428571,1.107142857,0.071428571,0.5,0,0,1.214285714,0.5,0.285714286,0.107142857,0.107142857,0.035714286,0.428571429,0.178571429,0.035714286,0,1.071428571,0.785714286,0,0,0.035714286,0,0.035714286,0,0,0,0,0,0.107142857,0.035714286,0.035714286,0,0.571428571,0.107142857,0.142857143,0.392857143,0.642857143,0.178571429,0.142857143,0.321428571,0.464285714,0.214285714,0,0,0.107142857,0.035714286,0,0,0.428571429,0.107142857,0.071428571,0.214285714,0.857142857,0.464285714,0.035714286,0.035714286,0.321428571,0,0,0,0,0.035714286,0,0.035714286,0.928571429,0.214285714,0,0.107142857,0,0.107142857,0.928571429,0.285714286,1.214285714,0.071428571,0,0.071428571,0.678571429,0.035714286,0.714285714,1.607142857,0.071428571,1.678571429,0.25,0.357142857,0.607142857,0.928571429,0.392857143,1.321428571,1.178571429,0.821428571,2,1.642857143,2.392857143,0.464285714,0.107142857,0.571428571,0.107142857,0.214285714,0.321428571,3.678571429,5.678571429,0.035714286,0.892857143,0.5,1.392857143,8.571428571,0.464285714,0.035714286,0.5,0.214285714
80,0.2,0.033333333,0,0,0,0.1,0,0,0,0.166666667,0.1,0,0,0.033333333,0.766666667,0.8,0.1,0.1,0.1,0.3,0.4,0.433333333,0,0.033333333,0,0.033333333,0,0,0.033333333,0,0,0.066666667,1.566666667,2.166666667,0,0.033333333,0,0,0,0,0.633333333,0.066666667,0,0,0,0,0,0.033333333,0.3,0.733333333,0,0,0.866666667,2.833333333,0,0.066666667,0.166666667,0,0,0.1,0.033333333,0.033333333,0,0,0.033333333,0.033333333,0,0.033333333,0.2,0,0,0,0.566666667,0,0.033333333,0,0.033333333,0,0.1,0.1,0.2,0.033333333,0,0.033333333,0,0,0,0.166666667,0.1,0.266666667,0.1,0.333333333,0.433333333,0.7,1.2,1.9,0.866666667,2.933333333,3.8,0.4,0.833333333,0.2,0,0.2,0,0.166666667,0.166666667,3.233333333,9.7,0,1.6,2.233333333,3.833333333,3.9,0.033333333,0.066666667,0.1,0.166666667
72,0.066666667,0.066666667,0,0,0,0,0,0,0,0.066666667,0,0.2,0,0,0,0.066666667,0.266666667,0,0.066666667,0,0,0.133333333,0,0,0.066666667,0.066666667,0,0,0,0,0,0,0,0.066666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0.066666667,0,0,0.266666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.066666667,0.133333333,0,0.066666667,0,0.266666667,0,0.266666667,0.066666667,0,0.066666667,0,0,0,0.266666667,0,0.266666667,0.066666667,0.2,0.266666667,0,0.133333333,0.133333333,0.066666667,0.133333333,0.2,0.6,0.8,0.266666667,0,0.266666667,0,0,0,0.4,0.733333333,0,0,0.066666667,0.066666667,1,0,0,0,0
68,0.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0.133333333,0.4,0.466666667,0,0,0,0,0.066666667,0.533333333,0,0.066666667,0,0.4,0,0,0,0,0,0,0,0.066666667,0,0,0,0,0,0,0.266666667,0.066666667,0,0,0,0,0,0,0,0.866666667,0,0.066666667,0,0.066666667,0,0.066666667,0,0,0,0,0,0.066666667,0,0.066666667,0,0.066666667,0,0,0,0.066666667,0.066666667,0,0.2,0,0,0.066666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.066666667,1.533333333,1.6,0,0.533333333,0.533333333,0,0,0,0,0,0,0,0,0.066666667,2.4,0,0,0.2,0.2,0.266666667,0,0.066666667,0.066666667,0
71,0.066666667,0,0,0,0,0.066666667,0,0,0,0.066666667,0.133333333,0,0,0.066666667,0.4,0.333333333,0,0.066666667,0,0,0.2,0.266666667,0,0,0.266666667,0.933333333,0,0,0.066666667,0,0,0,0,0,0,0,0,0,0,0,0.066666667,0,0,0,0,0,0,0.066666667,0,0.266666667,0,0,0,0,0,0,0.066666667,0.066666667,0,0.2,0.133333333,0.266666667,0.066666667,0,0.066666667,0.266666667,0.066666667,0.133333333,0,0.066666667,0.066666667,0,0.066666667,0.133333333,0.066666667,0,0,0,0,0.066666667,0.066666667,0,0,0,0.066666667,0,0.066666667,0.066666667,0.133333333,0.2,0,0.066666667,0.066666667,0.2,0.533333333,0.733333333,0.266666667,0.933333333,1.2,0.133333333,0.333333333,0.133333333,0.066666667,0.2,0,0.2,0.2,0.866666667,3.333333333,0,0.2,0.266666667,0.466666667,1.2,0.133333333,0.4,0.533333333,0
82,0.066666667,0.066666667,0,0.266666667,0,0,0.2,0.066666667,0.133333333,5.866666667,0.733333333,1.333333333,0.066666667,0,0.2,1,0,0,0,0,0.066666667,0.2,0.066666667,0,0,0.066666667,0,0,0.066666667,0.066666667,0.133333333,0.133333333,0.066666667,0.4,0,0,0.133333333,0.066666667,0.066666667,0,0.266666667,0,0,0,0,0.066666667,0,0.133333333,0.066666667,0.133333333,0,0,0.066666667,0.866666667,0.066666667,0,0,0.133333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.666666667,0,0,0,0,0,0,0.066666667,0.066666667,0.333333333,0,0.333333333,0.333333333,0,0.333333333,7.2,0.8,8,0,0.133333333,0.133333333,0.2,0.333333333,0.533333333,0.133333333,0.933333333,1.066666667,0.066666667,0.466666667,0.066666667,0.2,0.266666667,0.133333333,0.133333333,0.266666667,8.266666667,10.93333333,0,0.066666667,0.4,0.466666667,8.8,0.2,0.066666667,0.266666667,0
82,0.428571429,0,0.047619048,0,0,0,0.071428571,0,0.071428571,1.523809524,0.952380952,0.047619048,0,0.047619048,0.571428571,0.666666667,0.333333333,0.19047619,0.142857143,0.166666667,0.285714286,0.523809524,0.023809524,0,0.214285714,0.833333333,0,0.023809524,0.476190476,0.428571429,0.023809524,0.142857143,0.119047619,0.166666667,0,0,0,0,0,0,0.285714286,0.047619048,0.023809524,0.071428571,0.023809524,0.023809524,0,0,0.142857143,0.476190476,0.023809524,0,0.142857143,0.071428571,0,0,0.380952381,0.333333333,0.047619048,0.119047619,0.595238095,0.761904762,0.023809524,0.023809524,0,0,0,0,0,0.19047619,0.142857143,0.047619048,0.119047619,0.119047619,0,0.023809524,0,0,0.357142857,0.214285714,0.571428571,0,0.047619048,0.047619048,0.047619048,0,0.047619048,1.571428571,0.952380952,2.523809524,0.142857143,0.166666667,0.30952381,0.476190476,1,1.476190476,0.357142857,0.928571429,1.285714286,1.357142857,2.5,0.857142857,0.761904762,1.619047619,0.071428571,0.261904762,0.333333333,1.857142857,5.142857143,0.023809524,0.738095238,0.952380952,1.69047619,5,0,0,0,0.047619048
83,0,0,0,0,0,0,0,0,0,0.733333333,0.133333333,0.133333333,0.066666667,0,0,0,0.066666667,0,0,0,0.133333333,0.133333333,0,0,0.8,0.6,0,0,0,0.066666667,0,0,0,0.066666667,0,0,0,0.133333333,0,0,0,0,0.066666667,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0.066666667,0,0,0.2,0.4,0,0,0.066666667,0.066666667,0,0,0,0,0,0,0,0,0,0,0.2,0,0.066666667,0,0.066666667,0,0,0,0,0,0,0.866666667,0.2,1.066666667,0,0,0,0.133333333,0.333333333,0.466666667,0.8,0.6,1.4,0.066666667,0.2,0,0.133333333,0.133333333,0,0,0,2.066666667,3.866666667,0,0.2,0.466666667,0.666666667,2.2,0.066666667,0.2,0.266666667,0
86,0.337931034,0.324137931,0.04137931,0.35862069,0.04137931,0.062068966,0.020689655,0.006896552,0.013793103,0.606896552,0.131034483,0.420689655,0.075862069,0.089655172,0.165517241,0.44137931,0.234482759,0.075862069,0.089655172,0.124137931,0.379310345,0.462068966,0.055172414,0.04137931,0.613793103,0.903448276,0.124137931,0.062068966,0.289655172,0.096551724,0.013793103,0,0.075862069,0.048275862,0,0.006896552,0.048275862,0.075862069,0.04137931,0.020689655,0.537931034,0.020689655,0.034482759,0.048275862,0.034482759,0.020689655,0.006896552,0.020689655,0.151724138,0.124137931,0.006896552,0.034482759,0.020689655,0.062068966,0,0,0.427586207,0.137931034,0.055172414,0.027586207,0.310344828,0.275862069,0,0.006896552,0.068965517,0.068965517,0.013793103,0.006896552,0.055172414,0.006896552,0.006896552,0,0.275862069,0.006896552,0.013793103,0,0.020689655,0.013793103,0.268965517,0.096551724,0.365517241,0.682758621,0.082758621,0.765517241,0.034482759,0,0.034482759,1.027586207,0.206896552,1.234482759,0.096551724,0.144827586,0.24137931,0.593103448,0.662068966,1.255172414,0.786206897,1.013793103,1.8,1.082758621,1.55862069,0.717241379,0.234482759,0.951724138,0.068965517,0.027586207,0.096551724,3.703448276,6.2,0.006896552,0.386206897,0.337931034,0.724137931,4.593103448,0.172413793,0.172413793,0.344827586,0.027586207
